regno,acadyear,semester,studyyear,progid,item_code,item,amount,session,regstatus,status
MRU2019000570,2019/2020,1,1,BAED,1,Tuition,630000,DAY,UNREGISTERED,PLANNED
MRU2019000570,2019/2020,1,1,BAED,52,Functional,767000,DAY,UNREGISTERED,PLANNED
MRU2019000570,2019/2020,2,1,BAED,1,Tuition,630000,DAY,UNREGISTERED,PLANNED
MRU2019000570,2019/2020,2,1,BAED,52,Functional,677000,DAY,UNREGISTERED,PLANNED
MRU2019000570,2021/2022,2,3,BAED,1,Tuition,630000,DAY,UNREGISTERED,PLANNED
MRU2019000570,2021/2022,2,3,BAED,52,Functional,933000,DAY,UNREGISTERED,PLANNED
MRU2019000873,2019/2020,1,2,BVS,1,Tuition,730000,DAY,UNREGISTERED,PLANNED
MRU2019000873,2019/2020,1,2,BVS,52,Functional,905250,DAY,UNREGISTERED,PLANNED
MRU2019000873,2019/2020,2,1,BVS,1,Tuition,730000,DAY,UNREGISTERED,PLANNED
MRU2019000873,2019/2020,2,1,BVS,52,Functional,895250,DAY,UNREGISTERED,PLANNED
MRU2019000873,2020/2021,1,2,BVS,1,Tuition,730000,DAY,UNREGISTERED,PLANNED
MRU2019000873,2020/2021,1,2,BVS,52,Functional,905250,DAY,UNREGISTERED,PLANNED
MRU2019000939,2019/2020,1,1,BAED,1,Tuition,630000,DAY,UNREGISTERED,PLANNED
MRU2019000939,2019/2020,1,1,BAED,52,Functional,767000,DAY,UNREGISTERED,PLANNED
MRU2019000939,2019/2020,2,1,BAED,1,Tuition,630000,DAY,UNREGISTERED,PLANNED
MRU2019000939,2019/2020,2,1,BAED,52,Functional,677000,DAY,UNREGISTERED,PLANNED
MRU2019000939,2020/2021,1,2,BAED,1,Tuition,630000,DAY,REGISTERED,PLANNED
MRU2019000939,2020/2021,1,2,BAED,52,Functional,687000,DAY,REGISTERED,PLANNED
MRU2019001556,2019/2020,1,1,DPE,1,Tuition,230000,INSERVICE,REGISTERED,PLANNED
MRU2019001556,2019/2020,1,1,DPE,52,Functional,184000,INSERVICE,REGISTERED,PLANNED
MRU2019001556,2019/2020,2,1,DPE,1,Tuition,230000,INSERVICE,REGISTERED,PLANNED
MRU2019001556,2019/2020,2,1,DPE,52,Functional,154000,INSERVICE,REGISTERED,PLANNED
MRU2019001556,2019/2020,3,1,DPE,1,Tuition,230000,INSERVICE,REGISTERED,PLANNED
MRU2019001556,2019/2020,3,1,DPE,52,Functional,264000,INSERVICE,REGISTERED,PLANNED
MRU2019001556,2020/2021,1,2,DPE,1,Tuition,230000,INSERVICE,REGISTERED,PLANNED
MRU2019001556,2020/2021,1,2,DPE,52,Functional,154000,INSERVICE,REGISTERED,PLANNED
MRU2019001556,2020/2021,2,2,DPE,1,Tuition,230000,INSERVICE,REGISTERED,PLANNED
MRU2019001556,2020/2021,2,2,DPE,52,Functional,154000,INSERVICE,REGISTERED,PLANNED
MRU2019001556,2020/2021,3,2,DPE,1,Tuition,230000,INSERVICE,REGISTERED,PLANNED
MRU2019001556,2020/2021,3,2,DPE,52,Functional,344000,INSERVICE,REGISTERED,PLANNED
MRU2020000246,2021/2022,1,2,BEICT,1,Tuition,680000,DAY,UNREGISTERED,PLANNED
MRU2020000246,2021/2022,1,2,BEICT,52,Functional,687000,DAY,UNREGISTERED,PLANNED
MRU2020000246,2022/2023,1,3,BEICT,1,Tuition,680000,DAY,UNREGISTERED,PLANNED
MRU2020000246,2022/2023,1,3,BEICT,52,Functional,663000,DAY,UNREGISTERED,PLANNED
MRU2020000404,2020/2021,1,1,BIFA,1,Tuition,730000,DAY,UNREGISTERED,PLANNED
MRU2020000404,2020/2021,1,1,BIFA,52,Functional,985250,DAY,UNREGISTERED,PLANNED
MRU2020000404,2020/2021,2,1,BIFA,1,Tuition,730000,DAY,REGISTERED,PLANNED
MRU2020000404,2020/2021,2,1,BIFA,52,Functional,895250,DAY,REGISTERED,PLANNED
MRU2020000404,2021/2022,1,2,BIFA,1,Tuition,730000,DAY,UNREGISTERED,PLANNED
MRU2020000404,2021/2022,1,2,BIFA,52,Functional,905250,DAY,UNREGISTERED,PLANNED
MRU2020000404,2021/2022,2,2,BIFA,1,Tuition,730000,DAY,UNREGISTERED,PLANNED
MRU2020000404,2021/2022,2,2,BIFA,52,Functional,1071250,DAY,UNREGISTERED,PLANNED
MRU2020000404,2022/2023,1,3,BIFA,1,Tuition,730000,DAY,UNREGISTERED,PLANNED
MRU2020000404,2022/2023,1,3,BIFA,52,Functional,881250,DAY,UNREGISTERED,PLANNED
MRU2020000404,2022/2023,2,3,BIFA,1,Tuition,730000,DAY,UNREGISTERED,PLANNED
MRU2020000404,2022/2023,2,3,BIFA,52,Functional,951250,DAY,UNREGISTERED,PLANNED
MRU2020000604,2020/2021,1,1,BEICT,1,Tuition,680000,DAY,UNREGISTERED,PLANNED
MRU2020000604,2020/2021,1,1,BEICT,52,Functional,767000,DAY,UNREGISTERED,PLANNED
MRU2020000604,2020/2021,2,1,BEICT,1,Tuition,680000,DAY,UNREGISTERED,PLANNED
MRU2020000604,2020/2021,2,1,BEICT,52,Functional,677000,DAY,UNREGISTERED,PLANNED
MRU2020000604,2021/2022,1,2,BEICT,1,Tuition,680000,DAY,UNREGISTERED,PLANNED
MRU2020000604,2021/2022,1,2,BEICT,52,Functional,687000,DAY,UNREGISTERED,PLANNED
MRU2020000604,2021/2022,2,2,BEICT,1,Tuition,680000,DAY,REGISTERED,PLANNED
MRU2020000604,2021/2022,2,2,BEICT,52,Functional,853000,DAY,REGISTERED,PLANNED
MRU2020000604,2022/2023,1,3,BEICT,1,Tuition,680000,DAY,UNREGISTERED,PLANNED
MRU2020000604,2022/2023,1,3,BEICT,52,Functional,663000,DAY,UNREGISTERED,PLANNED
MRU2020000604,2022/2023,2,3,BEICT,1,Tuition,680000,DAY,REGISTERED,PLANNED
MRU2020000604,2022/2023,2,3,BEICT,52,Functional,933000,DAY,REGISTERED,PLANNED
MRU2020000717,2020/2021,1,1,BIFA,1,Tuition,730000,DAY,UNREGISTERED,PLANNED
MRU2020000717,2020/2021,1,1,BIFA,52,Functional,985250,DAY,UNREGISTERED,PLANNED
MRU2020000717,2020/2021,2,1,BIFA,1,Tuition,730000,DAY,UNREGISTERED,PLANNED
MRU2020000717,2020/2021,2,1,BIFA,52,Functional,895250,DAY,UNREGISTERED,PLANNED
MRU2020000717,2021/2022,1,2,BIFA,1,Tuition,730000,DAY,UNREGISTERED,PLANNED
MRU2020000717,2021/2022,1,2,BIFA,52,Functional,905250,DAY,UNREGISTERED,PLANNED
MRU2020000717,2021/2022,2,2,BIFA,1,Tuition,730000,DAY,UNREGISTERED,PLANNED
MRU2020000717,2021/2022,2,2,BIFA,52,Functional,1071250,DAY,UNREGISTERED,PLANNED
MRU2020000717,2022/2023,1,3,BIFA,1,Tuition,730000,DAY,UNREGISTERED,PLANNED
MRU2020000717,2022/2023,1,3,BIFA,52,Functional,881250,DAY,UNREGISTERED,PLANNED
MRU2020000717,2022/2023,2,3,BIFA,1,Tuition,730000,DAY,UNREGISTERED,PLANNED
MRU2020000717,2022/2023,2,3,BIFA,52,Functional,951250,DAY,UNREGISTERED,PLANNED
MRU2021000077,2021/2022,1,2,BCE,1,Tuition,1455000,WEEKEND,UNREGISTERED,PLANNED
MRU2021000077,2021/2022,1,2,BCE,52,Functional,1322000,WEEKEND,UNREGISTERED,PLANNED
MRU2021000077,2021/2022,2,2,BCE,1,Tuition,1455000,WEEKEND,UNREGISTERED,PLANNED
MRU2021000077,2021/2022,2,2,BCE,52,Functional,1488000,WEEKEND,UNREGISTERED,PLANNED
MRU2021000077,2022/2023,1,3,BCE,1,Tuition,1455000,WEEKEND,UNREGISTERED,PLANNED
MRU2021000077,2022/2023,1,3,BCE,52,Functional,1298000,WEEKEND,UNREGISTERED,PLANNED
MRU2021000077,2022/2023,2,3,BCE,1,Tuition,1455000,WEEKEND,UNREGISTERED,PLANNED
MRU2021000077,2022/2023,2,3,BCE,52,Functional,1488000,WEEKEND,UNREGISTERED,PLANNED
MRU2021000084,2021/2022,1,1,BBA,1,Tuition,630000,DAY,UNREGISTERED,PLANNED
MRU2021000084,2021/2022,1,1,BBA,52,Functional,767000,DAY,UNREGISTERED,PLANNED
MRU2021000084,2021/2022,2,1,BBA,1,Tuition,630000,DAY,UNREGISTERED,PLANNED
MRU2021000084,2021/2022,2,1,BBA,52,Functional,677000,DAY,UNREGISTERED,PLANNED
MRU2021000084,2022/2023,1,2,BBA,1,Tuition,630000,DAY,UNREGISTERED,PLANNED
MRU2021000084,2022/2023,1,2,BBA,52,Functional,687000,DAY,UNREGISTERED,PLANNED
MRU2021000084,2022/2023,2,2,BBA,1,Tuition,630000,DAY,UNREGISTERED,PLANNED
MRU2021000084,2022/2023,2,2,BBA,52,Functional,653000,DAY,UNREGISTERED,PLANNED
MRU2021000084,2023/2024,2,3,BBA,1,Tuition,630000,DAY,UNREGISTERED,PLANNED
MRU2021000084,2023/2024,2,3,BBA,52,Functional,933000,DAY,UNREGISTERED,PLANNED
MRU2021000091,2021/2022,1,1,BBA,1,Tuition,630000,DAY,UNREGISTERED,PLANNED
MRU2021000091,2021/2022,1,1,BBA,52,Functional,767000,DAY,UNREGISTERED,PLANNED
MRU2021000091,2021/2022,2,1,BBA,1,Tuition,630000,DAY,UNREGISTERED,PLANNED
MRU2021000091,2021/2022,2,1,BBA,52,Functional,677000,DAY,UNREGISTERED,PLANNED
MRU2021000091,2022/2023,1,2,BBA,1,Tuition,630000,DAY,UNREGISTERED,PLANNED
MRU2021000091,2022/2023,1,2,BBA,52,Functional,687000,DAY,UNREGISTERED,PLANNED
MRU2021000091,2022/2023,2,1,BBA,1,Tuition,630000,DAY,UNREGISTERED,PLANNED
MRU2021000091,2022/2023,2,1,BBA,52,Functional,677000,DAY,UNREGISTERED,PLANNED
MRU2021000091,2023/2024,1,3,BBA,1,Tuition,630000,DAY,UNREGISTERED,PLANNED
MRU2021000091,2023/2024,1,3,BBA,52,Functional,663000,DAY,UNREGISTERED,PLANNED
MRU2021000091,2023/2024,2,3,BBA,1,Tuition,630000,DAY,UNREGISTERED,PLANNED
MRU2021000091,2023/2024,2,3,BBA,52,Functional,933000,DAY,UNREGISTERED,PLANNED
MRU2021000091,2024/2025,2,3,BBA,1,Tuition,630000,DAY,REGISTERED,PLANNED
MRU2021000091,2024/2025,2,3,BBA,52,Functional,933000,DAY,REGISTERED,PLANNED
MRU2021000137,2021/2022,1,1,BAED,1,Tuition,630000,DAY,UNREGISTERED,PLANNED
MRU2021000137,2021/2022,1,1,BAED,52,Functional,767000,DAY,UNREGISTERED,PLANNED
MRU2021000137,2021/2022,2,1,BAED,1,Tuition,630000,DAY,UNREGISTERED,PLANNED
MRU2021000137,2021/2022,2,1,BAED,52,Functional,677000,DAY,UNREGISTERED,PLANNED
MRU2021000137,2022/2023,1,2,BAED,1,Tuition,630000,DAY,UNREGISTERED,PLANNED
MRU2021000137,2022/2023,1,2,BAED,52,Functional,687000,DAY,UNREGISTERED,PLANNED
MRU2021000137,2022/2023,2,2,BAED,1,Tuition,630000,DAY,UNREGISTERED,PLANNED
MRU2021000137,2022/2023,2,2,BAED,52,Functional,853000,DAY,UNREGISTERED,PLANNED
MRU2021000137,2023/2024,1,3,BAED,1,Tuition,630000,DAY,UNREGISTERED,PLANNED
MRU2021000137,2023/2024,1,3,BAED,52,Functional,663000,DAY,UNREGISTERED,PLANNED
MRU2021000137,2023/2024,2,3,BAED,1,Tuition,630000,DAY,REGISTERED,PLANNED
MRU2021000137,2023/2024,2,3,BAED,52,Functional,933000,DAY,REGISTERED,PLANNED
MRU2021000163,2021/2022,1,1,BMC,1,Tuition,780000,DAY,UNREGISTERED,PLANNED
MRU2021000163,2021/2022,1,1,BMC,52,Functional,887000,DAY,UNREGISTERED,PLANNED
MRU2021000163,2021/2022,2,1,BMC,1,Tuition,780000,DAY,UNREGISTERED,PLANNED
MRU2021000163,2021/2022,2,1,BMC,52,Functional,797000,DAY,UNREGISTERED,PLANNED
MRU2021000163,2022/2023,1,2,BMC,1,Tuition,780000,DAY,UNREGISTERED,PLANNED
MRU2021000163,2022/2023,1,2,BMC,52,Functional,807000,DAY,UNREGISTERED,PLANNED
MRU2021000163,2022/2023,2,2,BMC,1,Tuition,780000,DAY,UNREGISTERED,PLANNED
MRU2021000163,2022/2023,2,2,BMC,52,Functional,973000,DAY,UNREGISTERED,PLANNED
MRU2021000163,2023/2024,1,3,BMC,1,Tuition,780000,DAY,UNREGISTERED,PLANNED
MRU2021000163,2023/2024,1,3,BMC,52,Functional,783000,DAY,UNREGISTERED,PLANNED
MRU2021000163,2023/2024,2,3,BMC,1,Tuition,780000,DAY,UNREGISTERED,PLANNED
MRU2021000163,2023/2024,2,3,BMC,52,Functional,1053000,DAY,UNREGISTERED,PLANNED
MRU2021000307,2021/2022,1,1,BEICT,1,Tuition,680000,DAY,UNREGISTERED,PLANNED
MRU2021000307,2021/2022,1,1,BEICT,52,Functional,767000,DAY,UNREGISTERED,PLANNED
MRU2021000307,2021/2022,2,1,BEICT,1,Tuition,680000,DAY,UNREGISTERED,PLANNED
MRU2021000307,2021/2022,2,1,BEICT,52,Functional,677000,DAY,UNREGISTERED,PLANNED
MRU2021000307,2022/2023,1,2,BEICT,1,Tuition,680000,DAY,UNREGISTERED,PLANNED
MRU2021000307,2022/2023,1,2,BEICT,52,Functional,687000,DAY,UNREGISTERED,PLANNED
MRU2021000307,2022/2023,2,2,BEICT,1,Tuition,680000,DAY,UNREGISTERED,PLANNED
MRU2021000307,2022/2023,2,2,BEICT,52,Functional,853000,DAY,UNREGISTERED,PLANNED
MRU2021000307,2023/2024,1,3,BEICT,1,Tuition,680000,DAY,UNREGISTERED,PLANNED
MRU2021000307,2023/2024,1,3,BEICT,52,Functional,663000,DAY,UNREGISTERED,PLANNED
MRU2021000307,2023/2024,2,3,BEICT,1,Tuition,680000,DAY,UNREGISTERED,PLANNED
