========================================= 
SYSTEM REPAIR - REGISTER + AUTOBILL RUN 
Run date: Tue 05/05/2026 12:34:55.26 
========================================= 
 
=== SEMESTER 2 REPAIR === 
Warning: Using a password on the command line interface can be insecure.
section	acad_year	semester	candidate_count	billed_now	already_billed	no_bill_created	failed_rows
SUMMARY	2025/2026	2	123	114	4	5	0
reg_id	regno	old_status	old_conducted_new_registration	before_bill_count	after_bill_count	action_status	action_note	processed_at
54519	MRU2024001874	REGISTERED	Yes	0	0	NO_BILL_CREATED	No bill row present after system trigger	2026-05-05 12:35:18
54494	MRU2022000100	REGISTERED	Yes	0	0	NO_BILL_CREATED	No bill row present after system trigger	2026-05-05 12:35:21
54486	MRU2023000628	REGISTERED	Yes	0	0	NO_BILL_CREATED	No bill row present after system trigger	2026-05-05 12:35:21
54435	MRU2023001370	REGISTERED	Yes	0	0	NO_BILL_CREATED	No bill row present after system trigger	2026-05-05 12:35:21
54406	Mru2021001213	REGISTERED	Yes	0	0	NO_BILL_CREATED	No bill row present after system trigger	2026-05-05 12:35:24
54138	MRU2024001278	REGISTERED	Yes	2	2	ALREADY_BILLED	Bill already existed after status sync	2026-05-05 12:35:26
54134	MRU2024001214	REGISTERED	Yes	2	2	ALREADY_BILLED	Bill already existed after status sync	2026-05-05 12:35:31
54133	MRU2024001191	REGISTERED	Yes	2	2	ALREADY_BILLED	Bill already existed after status sync	2026-05-05 12:35:37
54129	MRU2024000911	REGISTERED	Yes	2	2	ALREADY_BILLED	Bill already existed after status sync	2026-05-05 12:35:39
54128	MRU2024000892	REGISTERED	Yes	1	2	BILLED	Billing triggered successfully	2026-05-05 12:35:42
54125	MRU2024000851	REGISTERED	Yes	0	2	BILLED	Billing triggered successfully	2026-05-05 12:35:48
54123	MRU2024000782	REGISTERED	Yes	0	2	BILLED	Billing triggered successfully	2026-05-05 12:35:52
54120	MRU2024000585	REGISTERED	Yes	0	2	BILLED	Billing triggered successfully	2026-05-05 12:35:57
