course_code	course_name	credit_units	acad_year	semester	her_mark_status	peers_already_marked	published_by	peers_published_on
BCU1201B	GENERAL TEACHING-LEARNING METHODS	2	2026/2027	2	NOT_ENTERED	6	muhindo	2026-08-15 11:45:02
BCU1204B	CURRICULUM DESIGN AND IMPLEMENTATION	2	2026/2027	2	NOT_ENTERED	5	muhindo	2026-08-20 10:19:21
BCU1205B	EDUCATIONAL TECHNOLOGY	2	2026/2027	2	NOT_ENTERED	5	muhindo	2026-08-20 10:19:21
BEE1206B	PROFESSIONAL ETHICS	2	2026/2027	2	NOT_ENTERED	5	muhindo	2026-08-15 11:45:02
BEF1202B	PHILOSOPHICAL FOUNDATIONS OF EDUCATION	2	2026/2027	2	NOT_ENTERED	5	muhindo	2026-08-23 12:41:15
BEF1203B	HISTORICAL FOUNDATIONS OF EDUCATION	2	2026/2027	2	NOT_ENTERED	6	muhindo	2026-08-26 18:28:46
BEF1204B	CONTEMPORARY EDUCATION SYSTEM	2	2026/2027	2	NOT_ENTERED	0		
BEF1207B	SPECIAL NEEDS IN  EDUCATION	2	2026/2027	2	NOT_ENTERED	5	muhindo	2026-08-20 10:19:21
BGC1203B	EDUCATIONAL GUIDANCE AND COUNSELLING	2	2026/2027	2	NOT_ENTERED	6	muhindo	2026-08-20 10:19:21
BMA1201B	EDUCATIONAL MANAGEMENT & ADMINISTRATION	2	2026/2027	2	NOT_ENTERED	6	muhindo	2026-08-15 17:20:12
