regno	programme	course_code	mark	filed_under_year	filed_under_sem	study_year_of_that_term	curriculum_year	curriculum_sem	assessment	destination_mark	destination_year	published_on	approve_batch
MRU1300200613	BMC	BMC3104	57	2015/2016	2	3	3	1	AMBIGUOUS - destination already holds a different mark	57	2015/2016	2026-05-30 13:17:28	1
MRU2022000207	BAED	BSP3202	76	2024/2025	2	2	3	2	AMBIGUOUS - destination already holds a different mark	77	2025/2026	2026-08-10 10:39:39	43
MRU2023000312	BPLM	MGT2206B	77	2025/2026	2	3	2	2	AMBIGUOUS - destination already holds a different mark	43	2024/2025	2026-08-10 11:42:21	26
MRU2023000420	BBA	FIN1202B	50	2024/2025	2	2	1	2	AMBIGUOUS - destination already holds a different mark	50	2023/2024	2026-08-21 13:39:26	
MRU2023000585	BEICT	BME2209	70	2025/2026	2	3	2	2	AMBIGUOUS - destination already holds a different mark	68	2024/2025	2026-08-10 12:58:15	38
MRU2023000623	BEE	BEE2202	76	2025/2026	2	3	2	2	AMBIGUOUS - destination already holds a different mark	44	2024/2025	2026-08-10 10:41:11	24
MRU2023000657	BAED	BEF1202	79	2025/2026	2	3	1	2	AMBIGUOUS - destination already holds a different mark	43	2023/2024	2026-08-10 10:33:13	38
MRU2023000779	BBA	FIN1202B	66	2024/2025	2	2	1	2	AMBIGUOUS - destination already holds a different mark	47	2023/2024	2026-08-17 11:12:54	71
MRU2023000826	SWSA	SWA2202B	58	2025/2026	2	3	2	2	AMBIGUOUS - destination already holds a different mark	8	2024/2025	2026-08-14 16:15:39	59
MRU2023000871	BAED	BEF1202	72	2025/2026	2	3	1	2	AMBIGUOUS - destination already holds a different mark	39	2023/2024	2026-08-10 10:45:48	38
MRU2023000914	BAED	BHI2205	71	2025/2026	1	3	2	2	AMBIGUOUS - destination already holds a different mark	61	2024/2025	2026-08-13 12:26:52	57
MRU2023001184	DPE	DEL2101D	83	2023/2024	1	1	2	1	AMBIGUOUS - destination already holds a different mark	74	2024/2025	2026-08-10 10:23:22	38
MRU2023001308	BED(S)	BAG3103B	75	2025/2026	3	3	3	1	AMBIGUOUS - destination already holds a different mark	75	2025/2026	2026-08-10 10:23:52	38
MRU2024000011	DPE	DIT1101D	80	2024/2025	1	2	1	1	AMBIGUOUS - destination already holds a different mark	71	2023/2024	2026-08-10 10:25:10	38
MRU2024000017	DPE	DEC2101D	74	2024/2025	1	1	2	1	AMBIGUOUS - destination already holds a different mark	72	2025/2026	2026-08-10 10:23:31	38
MRU2024000017	DPE	DEF2101D	67	2024/2025	1	1	2	1	AMBIGUOUS - destination already holds a different mark	70	2025/2026	2026-08-10 10:23:31	38
MRU2024000024	BED(S)	BEM1107B	76	2024/2025	1	2	1	1	AMBIGUOUS - destination already holds a different mark	74	2023/2024	2026-08-10 10:23:36	38
MRU2024000028	BED(P)	BEC3204B	0	2025/2026	2	2	3	2	AMBIGUOUS - destination already holds a different mark	58	2026/2027	2026-08-17 11:12:53	71
MRU2024000354	decd	DSP1301D	77	2025/2026	3	2	1	3	AMBIGUOUS - destination already holds a different mark	82	2024/2025	2026-07-27 02:42:37	
MRU2024000825	BBA	FIN1202B	52	2025/2026	2	2	1	2	AMBIGUOUS - destination already holds a different mark	47	2024/2025	2026-08-10 10:39:31	26
MRU2024000953	DBA	ADM1202D	35	2025/2026	2	2	1	2	AMBIGUOUS - destination already holds a different mark	47	2024/2025	2026-08-10 13:45:54	47
MRU2024001360	DIT	ICT1203D	70	2025/2026	2	2	1	2	AMBIGUOUS - destination already holds a different mark	39	2024/2025	2026-08-10 10:40:06	30
MRU2024001577	BED(S)	BVA3201B	75	2025/2026	2	2	3	2	AMBIGUOUS - destination already holds a different mark	76	2026/2027	2026-08-10 12:56:15	38
MRU2024001577	BED(S)	BVA3207B	84	2025/2026	2	2	3	2	AMBIGUOUS - destination already holds a different mark	87	2026/2027	2026-08-10 12:56:16	38
MRU2024001577	BED(S)	BVA3210B	75	2025/2026	2	2	3	2	AMBIGUOUS - destination already holds a different mark	85	2026/2027	2026-08-10 12:56:16	38
MRU2024001577	BED(S)	BVA3211B	73	2025/2026	2	2	3	2	AMBIGUOUS - destination already holds a different mark	80	2026/2027	2026-08-10 12:56:16	38
MRU2024001577	BED(S)	BVA3212B	75	2025/2026	2	2	3	2	AMBIGUOUS - destination already holds a different mark	85	2026/2027	2026-08-10 12:56:16	38
MRU2024001621	BED(P)	BEL3201B	83	2025/2026	2	2	3	2	AMBIGUOUS - destination already holds a different mark	85	2026/2027	2026-08-10 12:56:39	38
MRU2024001784	BED(P)	BVA1301B	70	2025/2026	3	2	1	3	AMBIGUOUS - destination already holds a different mark	75	2024/2025	2026-08-10 10:26:54	38
MRU2024001795	MEMA	EDU6207	61	2025/2026	1	2	1	2	AMBIGUOUS - destination already holds a different mark	61	2024/2025	2026-08-10 12:58:27	38
MRU2024001843	BED(P)	BEC3204B	0	2025/2026	2	2	3	2	AMBIGUOUS - destination already holds a different mark	73	2026/2027	2026-08-17 11:12:53	71
MRU2024001859	DCE	ENG1212D	73	2025/2026	2	2	1	2	AMBIGUOUS - destination already holds a different mark	77	2024/2025	2026-08-20 14:45:52	
MRU2024001984	BBA	MGT 1104B	80	2024/2025	1	1	2	1	AMBIGUOUS - destination already holds a different mark	80	2025/2026	2026-08-10 10:23:38	26
MRU2024001997	decd	DECD1303	50	2025/2026	3	2	1	3	AMBIGUOUS - destination already holds a different mark	50	2024/2025	2026-08-17 11:12:52	64
MRU2024002371	decd	DECD1201	72	2025/2026	2	2	1	2	AMBIGUOUS - destination already holds a different mark	72	2024/2025	2026-08-10 12:55:36	38
MRU2024002371	decd	DECD1208	72	2025/2026	2	2	1	2	AMBIGUOUS - destination already holds a different mark	65	2024/2025	2026-08-10 12:55:36	38
MRU2024002396	decd	DECD1201	66	2025/2026	2	2	1	2	AMBIGUOUS - destination already holds a different mark	66	2024/2025	2026-08-10 12:54:54	38
MRU2024002396	decd	DECD1208	66	2025/2026	2	2	1	2	AMBIGUOUS - destination already holds a different mark	60	2024/2025	2026-08-10 12:54:54	38
MRU2025002115	BEICT	FIN1101B	73	2026/2027	1	2	1	1	AMBIGUOUS - destination already holds a different mark	34	2025/2026	2026-08-10 12:58:33	38
MRU2025002235	DPE	DEL2202D	60	2025/2026	2	1	2	2	AMBIGUOUS - destination already holds a different mark	60	2026/2027	2026-08-10 12:55:46	21
MRU2025002265	DPE	DEE2201D	79	2025/2026	2	1	2	2	AMBIGUOUS - destination already holds a different mark	72	2026/2027	2026-08-10 13:45:55	47
MRU2025002267	DPE	DGC2201D	77	2025/2026	2	1	2	2	AMBIGUOUS - destination already holds a different mark	77	2026/2027	2026-08-10 12:57:22	21
MRU2025002468	DPE	DEL2201D	73	2025/2026	2	1	2	2	AMBIGUOUS - destination already holds a different mark	73	2026/2027	2026-08-10 12:56:10	21
MRU2025002468	DPE	DEL2202D	74	2025/2026	2	1	2	2	AMBIGUOUS - destination already holds a different mark	74	2026/2027	2026-08-10 12:56:10	21
MRU2025003009	BAED	BLL1201	76	2026/2027	1	2	1	2	AMBIGUOUS - destination already holds a different mark	65	2025/2026	2026-08-10 12:59:18	38
MRU2025003099	DPE	DEE2201D	90	2025/2026	2	1	2	2	AMBIGUOUS - destination already holds a different mark	78	2026/2027	2026-08-10 12:56:36	21
MRU2025003171	BCE	BCE1208	88	2026/2027	1	2	1	2	AMBIGUOUS - destination already holds a different mark	88	2025/2026	2026-08-10 12:59:24	40
MRU2025003556	HEC	HEC1201	76	2025/2026	1	1	1	2	AMBIGUOUS - destination already holds a different mark	60	2025/2026	2026-08-10 10:23:57	43
MRU2025003634	decd	DECD2207	76	2025/2026	2	1	2	2	AMBIGUOUS - destination already holds a different mark	75	2026/2027	2026-08-10 12:56:26	43
MRU2025004119	BCOM	PRC1101B	73	2025/2026	2	1	1	1	AMBIGUOUS - destination already holds a different mark	73	2025/2026	2026-08-24 16:13:51	81
MRU2025004249	SWSA	SWA1204B	68	2025/2026	1	1	1	2	AMBIGUOUS - destination already holds a different mark	68	2025/2026	2026-08-10 12:58:28	37
MRU2027000002	TEST	CCS	79	2026/2027	1	2	1	2	AMBIGUOUS - destination already holds a different mark	72	2025/2026	2026-08-01 20:11:19	32
MRU2022000258	BIT	ICT2104B	84	2022/2023	1	1	2	1	AMBIGUOUS - more than one candidate destination		2023/2024	2026-07-27 02:41:43	
MRU2027000002	TEST	ADM1106B	71	2026/2027	2	2	2	3	AMBIGUOUS - more than one candidate destination	88	2026/2027	2026-07-06 13:02:20	1
MRU2019001142	BIT	ICT2104B	62	2021/2022	1	3	2	1	NO ACTION - marked after (normal catch-up study)		2020/2021	2026-07-27 02:42:22	
