course_code,programmes,study_year,semester,students,result_rows,credit_units,course_name_TO_FILL
BBA 2119,-,1,1,1,1,0,
DVS1103C,ACJ,1,1,5,5,3,
BADE3210,BADE,3,2,4,4,3,
BADE3206,BADE,BAED,3,2,4,4,3,
BFA3107,BADE,BAED,3,1,4,4,3,
BCU 1201,BAED,1,2,1,1,0,
BCU 2201,BAED,2,2,2,2,0,
BEC3109,BAED,3,1,1,1,0,
BEF2201,BAED,2,2,3,3,3,
BEL1204,BAED,1,2,1,1,3,
BER2204,BAED,2,2,1,1,3,
BGE 2104,BAED,2,1,1,1,0,
BGE 2205,BAED,2,2,5,5,0,
BGE107,BAED,3,1,1,1,0,
BGE210,BAED,2,1,1,1,0,
BGE2104B,BAED,2,1,1,1,0,
BHI 2104,BAED,2,1,3,3,0,
BHI 2202,BAED,2,2,1,1,0,
BPS3201,BAED,3,2,2,2,3,
BRE 2204,BAED,2,2,1,1,0,
BRF2101,BAED,3,1,2,2,3,
BBM,BAED,BBM,BSAF,3,1,10,10,0,
BGE1203,BAED,BEICT,1,1,8,8,3,
BKE1101,BAED,BEICT,1,1,12,12,0,
BRE 1102,BAED,BEICT,1,1,4,4,0,
BRE 3203,BAED,BEICT,3,2,2,2,0,
"BCS\t1101",BAED,BEICT,BVS,1,1,118,118,0,
G,BAED,BIT,BPLM,DIT,1,1,13,13,3,
MGT3101,BAED,BPLM,3,1,10,10,0,
PRC2104B,BBA,BBM,BPLM,2,1,8,8,3,
BBC3204,BBC,3,2,2,2,3,
ICT2206B,BBC,BIT,2,2,68,68,3,
BBEI1101,BBEI,1,1,6,6,3,
BBEI1204,BBEI,1,1,1,1,3,
BCUI1104,BBEI,BED(P),BED(S),1,1,60,60,3,
 BBM2202,BBM,2,2,1,1,0,
1203,BBM,1,2,5,5,3,
BBM2113,BBM,2,1,2,2,3,
BIMM2203,BBM,2,2,1,1,3,
BPS3204,BBM,3,2,1,1,3,
FIN21012B,BBM,2,1,1,1,0,
FIN3209,BBM,3,2,1,1,0,
BHC1208,BBM,BCOM,BSAF,1,2,5,5,0,
NULL,BBM,BED(P),DME,DTHM,1,1,6,6,0,
E,BBM,BHRM,BIFA,BIT,BPA,DIT,1,1,15,15,3,
BBM2110,BBM,DBM,2,1,15,15,3,
BCE 2202,BCE,2,2,1,1,0,
BCE 2204,BCE,2,2,1,1,0,
BCE 2207,BCE,2,2,1,1,0,
BEE2301,BCE,BEE,2,2,75,75,0,
2103,BCOM,1,2,2,2,3,
BCOM 220,BCOM,2,2,1,1,0,
BCS2108,BCS,2,1,1,1,3,
BDS 1102,BDS,1,1,2,2,0,
BDS 1201,BDS,1,2,3,3,0,
BDS 1202,BDS,1,2,3,3,0,
BDS 2201,BDS,2,2,3,3,0,
BDS 2202,BDS,2,2,3,3,0,
BDS 2203,BDS,2,2,3,3,0,
BDS 2205,BDS,2,2,3,3,0,
BDS 2206,BDS,2,2,3,3,0,
BDS3102:,BDS,3,1,1,1,3,
BDS3109,BDS,3,1,5,5,3,
BDS3111,BDS,3,1,15,15,3,
BDS3208,BDS,3,2,45,45,3,
BDS3209,BDS,3,2,6,6,3,
DVS2206B:,BDS,1,2,1,1,0,
BAG2302D,BED(P),2,1,1,1,0,
BEC2304,BED(P),2,1,1,1,0,
BEC3304B,BED(P),3,1,2,2,0,
BPS2303,BED(P),2,1,2,2,0,
BSS2102D,BED(P),2,1,4,4,0,
BSS2303D,BED(P),2,1,6,6,0,
BSS3302,BED(P),3,1,3,3,0,
BEEI1203,BED(P),BED(S),1,1,23,23,3,
BERI1102,BED(P),BED(S),1,1,20,20,3,
BFAI1301,BED(P),BED(S),1,1,32,32,3,
BADI1301,BED(S),1,1,1,1,3,
BADI2103,BED(S),2,1,1,1,3,
BADI2303,BED(S),2,1,1,1,3,
BADI2304,BED(S),2,1,1,1,3,
BHII1201,BED(S),1,1,1,1,0,
BHII1202,BED(S),1,1,1,1,0,
