raw_code_as_stored,programmes,students,result_rows
"BMC 1209",BMC,22,22
"Dec-01",DSE,19,19
"Dec-05",DSE,19,19
"Dec-04",DSE,18,18
"E",BBM,BHRM,BIFA,BIT,BPA,DIT,15,15
"D",BEICT,BIT,DIT,13,13
"F",BIFA,BIT,DCE,DIT,13,13
"G",BAED,BIT,BPLM,DIT,13,13
"BCS 110",BIT,12,12
"BBM",BAED,BBM,BSAF,10,10
"DEF11204",DPE,9,9
"BMC:2203",BMC,6,6
"null",BBM,BED(P),DME,DTHM,6,6
"1203",BBM,5,5
"BGE 2205",BAED,5,5
"Dec-02",DSE,5,5
"Dec-03",DSE,5,5
"DAD 1104",DAD,4,4
"DIT 1101",DAD,4,4
"BDS 2201",BDS,3,3
"BDS 2202",BDS,3,3
"BDS 2203",BDS,3,3
"BDS 2205",BDS,3,3
"BDS 2206",BDS,3,3
"BSAF 120",BSAF,3,3
"PRC 2101B",BSAF,3,3
"Q",DEE,3,3
"U",DEE,3,3
"Y",DEE,3,3
"1CT2205B",BEICT,BIT,2,2
"2103",BCOM,2,2
"2107",SWSA,2,2
"2112",DEE,2,2
"BDS 1102",BDS,2,2
"BMC3201:",BMC,2,2
"BVS",BVS,2,2
"PRC12023B",BPLM,2,2
"1205",DIT,1,1
"1CT2207B",BIT,1,1
"2",BPLM,1,1
"2112D",DEE,1,1
"BBA 2119",-,1,1
"BCE 2207",BCE,1,1
"BCOM 220",BCOM,1,1
"BGG 2101",BHRM,1,1
"BMC 3101",BMC,1,1
"BPLM",BPLM,1,1
"C",BEICT,1,1
"DCS 1101",DAD,1,1
"DVS2206B:",BDS,1,1
"FAD 1203B",BVS,1,1
"FAD 2207B",BIFA,1,1
"FIN21012B",BBM,1,1
"FND 1101B",BPLM,1,1
"H",BSAF,1,1
