course_code,credit_units,students
BCUI1104,2,60
BDS3208,3,45
ICT2205,3,45
SWSA3203,3,42
SWSA3105,3,41
SWSA3207,3,41
SWSA3201,3,41
SWSA3103,3,41
SWSA3204,3,41
SWSA3106,3,41
SWSA3104,3,41
SWSA3206,3,41
SWSA3101,3,40
SWSA3202,3,40
BFAI1301,2,32
DJ2111,3,32
SWSA1106,NULL,31
SWSA3107,3,28
ODC1107,5,26
ODE1103,5,25
ODE1106,5,25
ODE1101,4,25
ODE1104,5,24
ODC1106,5,24
SWSA2102,3,24
BEEI1203,2,23
ODC1102,5,22
ODC1103,4,22
ODE1102,5,22
ODE1201,4,21
ODC1105,5,21
ODE1204,5,21
ODE1202,5,21
ODC1104,5,21
BERI1102,2,20
ODE2109,2,20
ODE1107,5,20
ODC1101,4,20
ODE1105,5,20
ODE1205,5,19
ODE1203,5,19
ODE2101,4,19
ODE1206,5,18
ODE1209,2,18
ODE2111,3,18
ODE1207,5,18
ODE2105,3,18
ODE2103,4,18
ODE1208,5,18
ODE2106,5,18
ODM1206,5,17
ODE2108,5,17
ODE2102,5,17
ODE2201,4,17
ODE1108,5,16
ODM1201,4,16
ODE2203,5,16
ODE2208,5,16
ODC1209,2,15
ODE2206,5,15
ODM1207,5,15
SWSA3208,3,15
BDS3111,3,15
BBM2110,3,15
ODE2205,3,15
ODM1208,5,15
BMC2016,3,15
ODM1203,5,15
ODC1206,5,14
ODM1108,5,14
ODM1204,5,14
ODM1101,4,14
ODM1104,5,14
ODM1202,5,14
ODM1205,5,14
ODE2210,5,13
ODE1212,9.9,13
ODM1102,5,13
ODM1105,4,13
SWSA3102,3,13
ODC1201,4,12
ODM1103,5,12
ODC1204,5,12
ODM2111,3,12
ODC1202,5,12
ODM2109,2,12
ODC1205,5,12
ODM1107,5,12
ODE2202,5,11
ODM2201,5,11
BH1201,3,11
ODM2207,5,11
ODC2109,5,11
ODM2205,5,11
ODM2103,5,11
ODM2107,5,11
ODM2203,5,11
ODM1209,2,10
ODM1106,5,10
ODM2105,5,10
ODM2202,5,10
MGT3101,NULL,10
ODC1203,4,10
ODE2104,5,9
ODC1108,5,9
ODC1207,5,9
ODM2101,4,9
BGE1203,3,8
ODM2104,5,8
ODC2108,5,8
PEO1101,3,8
ODC2202,3,8
PRC2104B,3,8
ODE2211,5,8
ODC2101,4,8
ODC2104,5,7
ODC2201,4,7
ODC2210,5,7
ODC2204,5,7
ODM2108,5,7
ODC2102,5,7
ODM2102,5,7
BGC1207,3,7
ODC2205,5,7
ODC2103,5,7
ODC2208,5,7
ODM2208,5,7
ODC2203,4,7
ODC2111,3,6
BDS3209,3,6
SWSA2106,3,6
BBEI1101,2,6
BSS2303D,NULL,6
ODM2112,3,6
SWSA2107,3,6
ODE2110,5,6
ODE2212,3,5
ODM2204,5,5
BDS3109,3,5
ODC2106,3,5
ODC2211,NULL,5
ODE1109,NULL,5
ODM1109,3,5
CGC101B,NULL,5
ODE1111,NULL,5
ODM2206,5,5
BADE3210,3,4
MSC1102D,3,4
BMM1105,3,4
BSS2102D,NULL,4
ODC2207,NULL,4
FND1108B,3,4
MSC1104D,3,4
ODM2211,5,4
BADE3206,3,4
BFA3107,3,4
BIFA310,4,3
BSS3302,NULL,3
FAD1202,NULL,3
BEF2201,3,3
BGC2107,3,3
BHC1202,3,3
ODM1212,9.9,3
DBM2221,3,3
BIT2109S,3,3
ICT1201,NULL,3
ODC2107,5,3
ODM1110,5,3
BGC1209,NULL,3
ODC2110,5,3
ODC2206,5,3
BPS3201,3,2
DBM3213,3,2
ODM2210,5,2
BBM2113,3,2
DSS1202,3,2
BBC3204,3,2
MGT1101,NULL,2
FAD1203,NULL,2
BEC3304B,NULL,2
ODC1212,3,2
BHII1305,2,2
BPS2303,NULL,2
ODC2112,2,2
DSS1201,3,2
FAD1205,NULL,2
ODC1208,5,2
ODMC2111,NULL,2
BRF2101,3,2
DBM2130,3,2
DIT2103D,NULL,2
DSS2103D,NULL,2
ODM2110,5,2
BBEI1204,2,1
BER2204,3,1
DRE1302,3,1
FND1107B,NULL,1
ODCE2212,3,1
SWSA2105,NULL,1
BADI2303,2,1
BEC3109,NULL,1
BLLI3304,2,1
BREI2309,2,1
DADE2202,3,1
DEL1301,3,1
FAD1208C,NULL,1
ICT2107,NULL,1
ODCE2202,3,1
SWSA2201,NULL,1
ADM2107,NULL,1
BHII1202,NULL,1
DBM2219,3,1
ENG2017D,NULL,1
FAD2102,NULL,1
ODCE2205,3,1
BADI1301,2,1
BBG1105,3,1
BGE210,NULL,1
BIMM2203,3,1
BPS3204,3,1
CFD1105,3,1
DCU2102,3,1
DSC2102,3,1
BADI2304,2,1
BCS2108,3,1
BLS111,3,1
BREI2310,2,1
DBM2112,3,1
DH2205,3,1
DSS1302,3,1
FAD1209C,NULL,1
ICT2115,NULL,1
ODCE2203,3,1
ODE2207,NULL,1
BEL1204,3,1
BGE107,NULL,1
DLS2106,4,1
FAD1107B,NULL,1
FIN3209,NULL,1
ODCE2208,3,1
BADI2103,2,1
BEC2304,NULL,1
BGE2104B,NULL,1
BREI2308,2,1
DEF1301,3,1
ODC1109,3,1
ODCE2201,3,1
BAG2302D,NULL,1
BHII1201,NULL,1
FAD1210C,NULL,1
ODCE2204,3,1
SWAS3106B,NULL,1
