course_code,recovered_name,credit_units
 BIT1102,COMPUTER LITERACY,NULL
 DTH1101,TOURISM CONCEPTS AND PRINCIPLES,3
1103,INFORMATION SYSTEM,3
12,,3
1201,HISTORY AND  CULTURAL HERITAGE,4
13,,3
13.0,,3
1CT3103B,PROJECT PLANNING AND MANAGEMENT,3
21,,3
21.0,,3
22,,3
2202,PATTERN MAKING,3
2210,BUSINESS KNOWLEDGE AND ENTERPRENUERSHIP,3
23,,3
31,,3
3105,ADVERTISING DESIGN,3
3131,STRATEGIC MANAGEMENT,3
32,,3
33,,3
ACAD1101,HISTORY OF ART APPRICIATIONS ,3
ACAD1102,INTRODUCTION TO DRAWING ,3
ACAD1103,INTRODUCTION TO PAINTING   ,3
ACAD1104,GRAPHIC DESIGNING  ,3
ACAD1105,INTRODUCTION TO TEXTILES ,3
ACBA1113,BUSINESS COMMUNICATION SKILLS,3
ACBA1200,HISTORY AND CULTURE HERITAGE,3
ACSS1105,ELEMENTARY SHORTHAND,3
ADM3106B,TYPE WRITING IIIA& COMPUTER OPERATIONS,3
ADM3109B,UGANDA'S ECONOMY,3
ADM3205B,CORPORATE SECRETARIAL PRACTICE,3
ADM3210B,RURAL AND COMMUNITY DEVELOPMENT,4
ADM3213B,LEADERSHIP SKILLS DEVELOPEMENT ,3
ADM3219B,COMPARATIVE LOCAL GOVERNMENT ADMINISTRATION ,3
AGI1202,FOOD PROCESSING AND STORAGE,3
ART1101,ART EDUCATION,3
ART3104,ART EDUCATION ,3
BAD E221,WEAVING AND STUDIO TECHNOLOGY,3
BADE,FASHION AND DESIGN AND STUDIO TECHNOLOGY,3
BADI2104,MARKETING AND MANAGEMENT ,3
BADI2105,POTERY & SCRULPTURE STUDIO TECHNOLOGY,2
BADI2203,FABRIC DECORATION AND STUDIO TECHNOLOGY,2
BADI2204,PRINTING AND STUDIO TECHNOLOGY,2
BADI2301,DRAWING & STUDIO TECHNOLOGY,2
BAG1308,Soil Science,3
BAG2302,ANIMAL PRODUCTS,2
BAG2303,ANIMAL PRODUCTS,3
BAGI1102,AGRICULTURAL MECHANISATION,2
BAGI3307,ANIMAL PHYSIOLOGY AND NUTRITION,3
BBE2208,INTERMEDIATE ACCOUNTING ,2
BBE3305,ADVANCED ACCOUNTING II,2
BBEI1207,SPECIFIC METHODS OF TEACHING BUSINESS EDUCATION,2
BBEI1208,RESEARCH PROJECT,2
BBEI3107,INTERMEDIATE ACCOUNTING,3
BBM 1201,INFORMATION TECHNOLOGY I,3
BBM 2103,RESEARCH METHODS OF BUSINESS ,3
