course_code,credit_units,students,REAL_NAME_FILL_HERE
ODC1101,4,20,
ODC1102,5,22,
ODC1103,4,22,
ODC1104,5,21,
ODC1105,5,21,
ODC1106,5,24,
ODC1108,5,9,
ODC1109,3,1,
ODC1201,4,12,
ODC1202,5,12,
ODC1203,4,10,
ODC1204,5,12,
ODC1205,5,12,
ODC1206,5,14,
ODC1207,5,9,
ODC1208,5,2,
ODC1209,2,15,
ODC1212,3,2,
ODC2101,4,8,
ODC2102,5,7,
ODC2103,5,7,
ODC2104,5,7,
ODC2106,3,5,
ODC2107,5,3,
ODC2108,5,8,
ODC2109,5,11,
ODC2110,5,3,
ODC2111,3,6,
ODC2112,2,2,
ODC2201,4,7,
ODC2202,3,8,
ODC2203,4,7,
ODC2204,5,7,
ODC2205,5,7,
ODC2206,5,3,
ODC2207,NULL,4,
ODC2208,5,7,
ODC2210,5,7,
ODC2211,NULL,5,
ODCE2201,3,1,
ODCE2202,3,1,
ODCE2203,3,1,
ODCE2204,3,1,
ODCE2205,3,1,
ODCE2208,3,1,
ODCE2212,3,1,
ODE1107,5,20,
ODE1109,NULL,5,
ODE1111,NULL,5,
ODE1212,9.9,13,
ODE2110,5,6,
ODE2207,NULL,1,
ODE2208,5,16,
ODE2210,5,13,
ODE2211,5,8,
ODM1101,4,14,
ODM1102,5,13,
ODM1103,5,12,
ODM1104,5,14,
ODM1105,4,13,
ODM1106,5,10,
ODM1107,5,12,
ODM1108,5,14,
ODM1109,3,5,
ODM1110,5,3,
ODM1201,4,16,
ODM1202,5,14,
ODM1203,5,15,
ODM1204,5,14,
ODM1205,5,14,
ODM1206,5,17,
ODM1207,5,15,
ODM1208,5,15,
ODM1209,2,10,
ODM1212,9.9,3,
ODM2101,4,9,
ODM2102,5,7,
ODM2103,5,11,
ODM2104,5,8,
ODM2105,5,10,
ODM2107,5,11,
ODM2108,5,7,
ODM2109,2,12,
ODM2110,5,2,
ODM2111,3,12,
ODM2112,3,6,
ODM2201,5,11,
ODM2202,5,10,
ODM2203,5,11,
ODM2204,5,5,
ODM2205,5,11,
ODM2206,5,5,
ODM2207,5,11,
ODM2208,5,7,
ODM2210,5,2,
ODM2211,5,4,
ODMC2111,NULL,2,
