ID	assigned_prog	course	yr	sem	course_name	lect_assigned	progs_with_students	progs_with_marks
5636	-	DSP1301D	1	3	SCHOOL PRACTICE  (6WKS)	YES	decd|DPE	decd|DPE
9648	-	BHI2203B	2	2	THE TRANSFORMATION OF EUROPE SINCE 1871	YES	BED(S)	BAED|BED(S)
5647	-	DECD2207	2	2	ESSENTIALS OF EDUCATIONAL MANAGEMENT AND ADMINISTRATION OF NURSERY SCHOOLS	YES	decd	decd
5651	-	DECD2308	2	3	PHILOSOPHICAL FOUNDATIONS OF EDUCATION	YES	decd	decd
5114	06501	BAG2102B	1	1	AGRICULTURE EDUCATION I	NO	BED(P)|BED(S)	BED(P)|BED(S)
5114	06501	BAG2102B	1	1	FUNDAMENTALS OF CROP PROTECTION	NO	BED(P)|BED(S)	BED(P)|BED(S)
5115	06501	BBEI2105	1	1	COMPUTER FUNDAMENTALS	NO	BBEI	BBEI
5115	06501	BBEI2105	1	1	STATISTICS	NO	BBEI	BBEI
5116	06501	BBEI2106	1	1	UGANDA'S ECONOMY	NO	BBEI	BAED|BBEI|BED(S)
5116	06501	BBEI2106	1	1	INTERMEDIATE ACCOUNTING II	NO	BBEI	BAED|BBEI|BED(S)
128	06501	BMC1101	1	1	INTRODUCTION TO MASS COMMUNICATION	NO	NULL	BMC
37	06501	MMC4102	1	1	CURRENT ISSUES IN MASS COMMUNICATION	NO	MMC	MMC
38	06501	MMC4103	1	1	RESEARCH METHODS	NO	MMC	MMC
39	06501	MMC4104	1	1	INTERNATIONAL JOURNALISM	NO	MMC	MMC
40	06501	MMC4105	1	1	ADVANCED WRITING AND PUBLIC AFFAIRS REPORTING	NO	MMC	MMC
41	06501	MMC4106	1	1	MEDIA AND POLITICS	NO	MMC	MMC
42	06501	MMC4201	1	2	MEDIA MANAGEMENT THEORIES AND PRACTICE	NO	MMC	MMC
43	06501	MMC4202	1	2	PROGRAMMING IN ELECTRONIC MEDIA	NO	MMC	MMC
44	06501	MMC4203	1	2	MULTIMEDIA AND DIGITAL JOURNALISM	NO	MMC	MMC
45	06501	MMC4204	1	2	ADVANCED INVESTIGATIVE JOURNALISM	NO	MMC	MMC
46	06501	MMC4205	1	2	ADVERTISING TECHNIQUES AND PRACTICE	NO	MMC	MMC
47	06501	MMC4206	1	2	STRATEGIC PUBLIC RELATIONS MANAGEMENT	NO	MMC	MMC
33	06501	MMC5101	2	1	RESEARCH PROPOSAL DEVELOPMENT AND WRITING	NO	MMC	MMC
49	06501	MMC5102	2	1	COMPUTER AIDED RESEARCH	NO	MMC	MMC
50	06501	MMC5103	2	1	MEDIA LAW AND POLICY	NO	MMC	MMC
51	06501	MMC5201	2	2	RESEARCH DISSERTATION	NO	MMC	MMC
73	06502	EDU6101	1	1	RESEARCH METHODOLOGY	NO	MBA|MEMA|MHHS|MMC	MEMA
