prog	yr	sem	subject	codes	the_codes
BAED	2	1	QUANTITATIVE METHODS	3	BEC2102 | ECO2102 | FIN2102B
BAED	2	2	ECONOMICS TEACHING METHODS	3	BEC 2205 | BEC2205 | ECO2205
BAED	2	2	INDUSTRIAL ECONOMICS	3	BEC 2201 | ECO 2204 | ECO2204
BED(S)	3	1	AGRICULTURE AND DEVELOPMENT	3	BGE3102B | BGE3103B | BGE3101
BHRM	1	1	FINANCIAL ACCOUNTING	3	BHRM1105 | FIN1101B | FIN1103B
06503	2	1	HISTORICAL FOUNDATIONS OF EDUCATION	2	BEF 2101 | BEF2101
06503	3	2	CURRICULUM DESIGN DEVELOPMENT AND IMPLEMENTATION	2	BCU 3201 | BCU3201
BAED	1	1	COMPUTER LITERACY	2	BIT1101B | ICT1108B
BAED	1	1	HUMAN GEOGRAPHY	2	BGE1102B | BGE1103
BAED	1	1	INTRODUCTION TO MATHEMATICS AND STATISTICS FOR ECONOMICS	2	BEC1102 | BECI1102
BAED	1	1	UGANDA'S ECONOMY	2	ADM1102 | ADM1102B
BAED	1	2	ELEMENTS OF PROBABILITY AND STATISTICS	2	BME1203 | BMEI1206
BAED	1	2	HISTORY AND CULTURAL HERITAGE OF UGANDA	2	BHC1201 | FND1205B
BAED	1	2	INTRODUCTORY MACRO ECONOMICS	2	BEC1202 | ECO1202
BAED	1	2	PRINCIPLES OF DEVELOPMENT ECONOMICS	2	BEC1201 | ECO1201
BAED	1	2	SOCIOLOGICAL FOUNDATIONS OF EDUCATION	2	BEF 1201 | BEF1201
BAED	2	1	ENTREPRENEURSHIP IN EDUCATION	2	BEP 2101 | BEP2101B
BAED	2	1	HISTORICAL FOUNDATIONS OF EDUCATION	2	BEF 2101 | BEF2101
BAED	2	1	INTRODUCTION TO SCHOOL PRACTICE	2	BSP 2101 | BSP2101
BAED	2	1	MATHEMATICAL ECONOMICS	2	BEC2103 | ECO2103
BAED	2	2	CURRICULUM EVALUATION AND INNOVATION	2	BCU 2203 | BCU2203
BAED	2	2	DEVELOPMENT ECONOMICS	2	BEC2203 | ECO2203
BAED	2	2	ENTREPRENEURSHIP TEACHING METHODS	2	BEP2204B | BPE 2205
BAED	2	2	MACRO ECONOMICS	2	BEC2201 | ECO 2201
BAED	2	2	PRODUCTION AND OPERATIONS MANAGEMENT	2	MGT2203B | MGT2203D
BAED	2	2	URBAN GEOGRAPHY	2	BGE2203 | BGE2203B
BAED	3	1	CHURCH HISTORY OUTSIDE AFRICA	2	BRE3103B | BRE3108
BAED	3	1	ECONOMIC POLICY AND PLANNING	2	BEC3102 | ECO3102
BAED	3	1	RELIGION AND GENDER	2	BRE3101 | BRE3101B
BAED	3	1	THE KIGANDA POETRY	2	BLL3103B | BLL3104
BAED	3	1	THE NEW TESTAMENT EPISTLES	2	BRE3102B | BRE3106
BAED	3	2	CURRICULUM DESIGN DEVELOPMENT AND IMPLEMENTATION	2	BCU 3201 | BCU3201
BAED	3	2	INTERMEDIATE MACRO ECONOMICS	2	BEC3201 | ECO3201
BAED	3	2	RESEARCH REPORT	2	BER3205 | BER3206
BAED	3	2	SPECIAL NEEDS EDUCATION	2	BEF 3201 | BEF3201
BBA	2	1	INTERMEDIATE ACCOUNTING	2	FIN2101B | FIN2101D
BBE	2	3	HUMAN RESOURCE MANAGEMENT	2	BBE2306B | BBEI2306
BBE	2	3	TAXATION MANAGEMENT	2	BBE2302B | BBEI2302
BBE	3	3	ADVANCED ACCOUNTING II	2	BBE3305B | BBEI3306
BBE	3	3	PRODUCTION AND OPERATIONS MANAGEMENT	2	BBE3302B | BBEI3302
BBE	3	3	PROJECT PLANNING AND MANAGEMENT	2	BBE3303B | BBEI3303
BBEI	2	1	LABOUR RELATIONS AND LAW	2	BBE2101B | BBEI2101B
BBEI	2	1	STATISTICS	2	BBEI2105 | BBE2105B
BBEI	2	1	UGANDA'S ECONOMY	2	BBEI2106 | BBE2106B
BBEI	3	3	RESEARCH REPORT	2	BBE3306B | BER3301B
BBM	2	2	COMPANY LAW	2	ADM2206B | BBM2217
BBM	3	1	MANAGERIAL ECONOMICS	2	BBM3102 | FIN3102B
BCE	1	1	COMMUNICATION AND LANGUAGE SKILLS	2	BSC1101 | FND1101B
BCE	1	1	ENGINEERING MATHEMATICS I	2	EMB1101 | ENG1101B
BCE	1	1	STATICS AND DYNAMICS	2	ENG1102B | SDB1101
BCE	1	2	ENGINEERING DRAWING	2	EDB1204 | ENG1204B
BCE	1	2	ENGINEERING MATHEMATICS II	2	EMB1201 | ENG1201B
BCE	2	1	ENGINEERING MATHEMATICS III	2	EMB2101 | ENG2101B
BCE	3	2	COMPUTER PROGRAMMING	2	BCP3204 | ENG3204B
BCE	4	1	PROJECT MANAGEMENT	2	ENG4101B | PMB4101
BCE	4	1	RESEARCH METHODS	2	ENG4105B | RMB4101
BDS	1	1	COMPUTER LITERACY	2	BIT 1101 | ICT1108B
BDS	2	1	POVERTY AND SOCIAL INEQUALITY	2	DVS2105B | DVS2108B
